Start Time,Torsi Motor Kiln,Arus Motor Kiln,Nox IKGA,Suhu Calciner,LSF,FCaOX
1/1/2024 0:00,2479.3,306.83,346.62,803,98.6428,0.8727
1/1/2024 0:01,1491.77,184.57,341.91,806,,
1/1/2024 0:02,2175.93,266.31,341.91,807,,
1/1/2024 0:03,1880.28,232.63,337.38,809,,
1/1/2024 0:04,2023.54,249.32,336.23,806,,
1/1/2024 0:05,1434.8,177.22,344.11,805,,
1/1/2024 0:06,1684.8,207.04,347.59,806,,
1/1/2024 0:07,1559.29,193,346.03,800,,
1/1/2024 0:08,2372.43,292.49,352.03,797,,
1/1/2024 0:09,1418.73,174.58,358.85,798,,
1/1/2024 0:10,1408.83,174.56,364.57,801,,
1/1/2024 0:11,1685.57,206.86,364.02,800,,
1/1/2024 0:12,2134.91,264.21,365.62,803,,
1/1/2024 0:13,1704.48,209.18,363.38,805,,
1/1/2024 0:14,1598.25,197.5,354.45,801,,
1/1/2024 0:15,2490.49,307.42,326.53,802,,
1/1/2024 0:16,1319.19,163.63,305.47,804,,
1/1/2024 0:17,2514.79,309.76,324.74,808,,
1/1/2024 0:18,1558.39,193.12,332.85,809,,
1/1/2024 0:19,2358.29,291.24,327.26,811,,
1/1/2024 0:20,1497.95,185.2,324.93,814,,
1/1/2024 0:21,2456.8,302.57,322.64,811,,
1/1/2024 0:22,1520.19,187.97,331.79,811,,
1/1/2024 0:23,2601.99,321.17,332.85,813,,
1/1/2024 0:24,1734.31,214.63,330.83,818,,
1/1/2024 0:25,2090.67,257.56,304.92,823,,
1/1/2024 0:26,1413.71,174.05,289.86,821,,
1/1/2024 0:27,2080.64,256.97,301.26,821,,
1/1/2024 0:28,2082.82,255.96,296.82,819,,
1/1/2024 0:29,2272.12,280.77,306.61,809,,
1/1/2024 0:30,2059.42,252.49,335.04,804,,
1/1/2024 0:31,1961.42,242.71,344.98,805,,
1/1/2024 0:32,2407.16,295.36,344.66,808,,
1/1/2024 0:33,1483.03,183.44,335.68,810,,
1/1/2024 0:34,2239.46,276.39,333.99,808,,
1/1/2024 0:35,1400.85,173.22,340.76,809,,
1/1/2024 0:36,2288.84,282.35,339.71,805,,
1/1/2024 0:37,1609.06,198.94,349.69,804,,
1/1/2024 0:38,2437.12,301.72,356.65,807,,
1/1/2024 0:39,1835.27,226.37,345.48,807,,
1/1/2024 0:40,2284.08,282.89,350.33,803,,
1/1/2024 0:41,1466.05,179.95,359.9,802,,
1/1/2024 0:42,2175.16,269.54,358.75,803,,
1/1/2024 0:43,1755.92,216.21,349.78,802,,
1/1/2024 0:44,2080.89,257.7,350.97,802,,
1/1/2024 0:45,1798.62,221.8,357.7,799,,
1/1/2024 0:46,1590.92,196.57,368.14,798,,
1/1/2024 0:47,2038.07,251.3,366.77,802,,
1/1/2024 0:48,1400.72,173.52,367.18,799,,
1/1/2024 0:49,2324.72,286.69,377.07,797,,
1/1/2024 0:50,1326.52,164.15,370.02,799,,
1/1/2024 0:51,1724.8,211.38,354.45,803,,
1/1/2024 0:52,1287.04,159.45,346.3,808,,
1/1/2024 0:53,2526.75,312.14,330.74,811,,
1/1/2024 0:54,1272.64,157.38,319.89,811,,
1/1/2024 0:55,1647.89,203.91,312.93,810,,
1/1/2024 0:56,1746.79,214.65,304.92,808,,
1/1/2024 0:57,1842.73,226.83,306.84,807,,
1/1/2024 0:58,1723.77,212.8,308.95,803,,
1/1/2024 0:59,2071.64,256,312.52,801,,
1/1/2024 1:00,1644.29,202.69,317.05,803,,
1/1/2024 1:01,2253.35,277.62,332.11,804,,
1/1/2024 1:02,1966.14,242.51,332.01,804.67,,
1/1/2024 1:03,1678.93,207.4,331.9,805.33,,
1/1/2024 1:04,1391.72,172.29,331.79,806,,
1/1/2024 1:05,1745.46,215.7,326.24,806.33,,
1/1/2024 1:06,2099.2,259.1,320.68,806.67,,
1/1/2024 1:07,2452.94,302.51,315.13,807,,
1/1/2024 1:08,2452.94,302.51,315.13,807,,
1/1/2024 1:09,2452.94,302.51,315.13,807,,
1/1/2024 1:10,2452.94,302.51,315.13,807,,
1/1/2024 1:11,2452.94,302.51,315.13,807,,
1/1/2024 1:12,2452.94,302.51,315.13,807,,
1/1/2024 1:13,1348.51,167.24,307.12,808,,
1/1/2024 1:14,2503.22,308.91,301.26,807,,
1/1/2024 1:15,1432.87,176.29,294.62,807,,
1/1/2024 1:16,2418.86,299.36,243.31,803,,
1/1/2024 1:17,1888.51,232.45,265,804,,
1/1/2024 1:18,1438.02,177.46,283.63,800,,
1/1/2024 1:19,1895.97,234.27,303.46,799,,
1/1/2024 1:20,1831.67,227.08,312.52,795,,
1/1/2024 1:21,1377.45,170.62,321.45,805,,
1/1/2024 1:22,1377.45,170.62,321.45,805,,
1/1/2024 1:23,1881.18,232.23,307.9,807,,
1/1/2024 1:24,1863.43,231.46,306.84,803,,
1/1/2024 1:25,1902.52,234.29,318.29,799,,
1/1/2024 1:26,1902.52,234.29,318.29,799,,
1/1/2024 1:27,2084.75,255.9,331.06,800,,
1/1/2024 1:28,1825.49,225.97,323.69,798,,
1/1/2024 1:29,2332.31,287.28,328.4,795,,
1/1/2024 1:30,1975.96,243.16,336.23,795,,
1/1/2024 1:31,2189.18,270.51,332.85,797,,
1/1/2024 1:32,1609.06,197.89,324.93,798,,
1/1/2024 1:33,1979.3,245.12,315.68,801,,
1/1/2024 1:34,2001.42,245.97,297.78,803,,
1/1/2024 1:35,1346.58,167.08,294.39,801,,
1/1/2024 1:36,1603.01,196.49,302.4,802,,
1/1/2024 1:37,1812.63,224.65,302.31,799,,
1/1/2024 1:38,2419.37,296.89,316.82,797,,
1/1/2024 1:39,1580.76,195.38,326.12,796,,
1/1/2024 1:40,2440.59,300.49,330.51,798,,
1/1/2024 1:41,1937.38,239.3,323.69,801,,
1/1/2024 1:42,1654.84,204.19,318.84,803,,
1/1/2024 1:43,1468.11,181.71,311.38,805,,
1/1/2024 1:44,1749.1,214.96,297.78,802,,
1/1/2024 1:45,1385.03,171.36,303.46,798,,
1/1/2024 1:46,1573.31,193.95,311.79,797,,
1/1/2024 1:47,1986.24,244.11,314.72,800,,
1/1/2024 1:48,2061.73,254.53,313.02,798,,
1/1/2024 1:49,1561.86,192.29,319.34,802,,
1/1/2024 1:50,2106.74,260.77,314.72,805,,
1/1/2024 1:51,1440.08,176.49,297.78,805,,
1/1/2024 1:52,1342.72,166.13,292.06,803,,
1/1/2024 1:53,1506.05,185.91,294.62,801,,
1/1/2024 1:54,1926.83,238.79,293.11,803,,
1/1/2024 1:55,2264.28,277.86,292.06,807,,
1/1/2024 1:56,1175.41,146.03,277.55,807,,
1/1/2024 1:57,1650.72,202.86,281.99,802,,
1/1/2024 1:58,1302.86,160.84,301.26,800,,
1/1/2024 1:59,2048.87,251.54,322.64,798,,
